_raw,_time,action,app,bytes,bytes_in,bytes_out,c_ip,category,cookie,cs_Referer,cs_User_Agent,cs_auth_group,cs_bytes,cs_categories,cs_host,cs_method,cs_threat_risk,cs_uri_port,cs_uri_scheme,cs_username,date,date_hour,date_mday,date_minute,date_month,date_second,date_wday,date_year,date_zone,dest,dest_host,dest_ip,dest_port,duration,eventtype,host,http_content_type,http_method,http_referrer,http_user_agent,http_user_agent_length,index,linecount,packets_in,product,protocol,punct,response_time,rs_Content_Type,s_action,s_ip,s_supplier_country,s_supplier_failures,s_supplier_ip,s_supplier_name,sc_bytes,sc_filter_result,sc_status,session_id,site,source,sourcetype,splunk_server,splunk_server_group,src,src_port,status,tag,tag::action,tag::app,tag::eventtype,tag::sourcetype,time,time_taken,transport,uri_path,uri_query,url,user,vendor,vendor_action,vendor_categories,vendor_product,x_bluecoat_application_groups,x_bluecoat_application_name,x_bluecoat_application_operation,x_bluecoat_transaction_uuid,x_icap_reqmod_header,x_icap_respmod_header,x_icap_respmod_header_X_ICAP_Metadata,x_virus_id
"2021-11-16 08:42:38 306344 10.55.66.777 Fahad3315 stc\proxylanusers haveibeenpwned.com 104.18.173.13 ""None"" - - OBSERVED ""Technology/Internet"" - 0 TUNNELED unknown - ssl haveibeenpwned.com 443 / - - - 10.20.30.40 106910 6999 - ""none"" ""none"" ""none"" 2 0eccfe6bf32fd3fa-0000000024a2f7f9-0000000061936dcc - -",2021-11-16T11:42:38.000+0300,allowed,Blue Coat ProxySG,113909,106910,6999,10.55.66.777,Technology/Internet,,-,-,stc\proxylanusers,6999,Technology/Internet,haveibeenpwned.com,unknown,2,443,ssl,Fahad3315,11/16/2021,8,16,42,november,38,tuesday,2021,0,haveibeenpwned.com,haveibeenpwned.com,,,306344,bluecoat_proxy bluecoat_proxy_access_file nix-all-logs,10.20.30.40,-,unknown,-,-,1,bluecoat_it,1,,ProxySG,,"--_::__...__\_._..._""""_-_-__""/""_-____-__.__/_-_-_-",306344,-,TUNNELED,10.20.30.40,None,-,104.18.173.13,haveibeenpwned.com,106910,OBSERVED,0,,haveibeenpwned.com,/data/splunkapp/syslog/dc46/bluecoatsg/10.20.30.40/2021-11-16-11.log,bluecoat:proxysg:access:file,sem-spl-idx-cluster1-34,,10.55.66.777,,0,"proxy
web",,,"proxy
web",,8:42:38,306344,unknown,/,-,ssl://haveibeenpwned.com/,Fahad3315,Blue Coat,TUNNELED,Technology/Internet,Blue Coat ProxySG,none,none,none,0eccfe6bf32fd3fa-0000000024a2f7f9-0000000061936dcc,-,-,,-
"2021-11-16 08:42:19 253197 10.55.66.777 Fahad3315 stc\proxylanusers www.virustotal.com 74.125.34.46 ""None"" - - OBSERVED ""Technology/Internet"" - 0 TUNNELED unknown - ssl www.virustotal.com 443 / - - - 10.20.30.40 26571 5540 - ""VirusTotal"" ""none"" ""Online Services"" 2 0eccfe6bf32fd3fa-0000000024a26c47-0000000061936dee - -",2021-11-16T11:42:19.000+0300,allowed,Blue Coat ProxySG,32111,26571,5540,10.55.66.777,Technology/Internet,,-,-,stc\proxylanusers,5540,Technology/Internet,www.virustotal.com,unknown,2,443,ssl,Fahad3315,11/16/2021,8,16,42,november,19,tuesday,2021,0,www.virustotal.com,www.virustotal.com,,,253197,bluecoat_proxy bluecoat_proxy_access_file nix-all-logs,10.20.30.40,-,unknown,-,-,1,bluecoat_it,1,,ProxySG,,"--_::__...__\_.._..._""""_-_-__""/""_-____-__..__/_-_-",253197,-,TUNNELED,10.20.30.40,None,-,74.125.34.46,www.virustotal.com,26571,OBSERVED,0,,www.virustotal.com,/data/splunkapp/syslog/dc46/bluecoatsg/10.20.30.40/2021-11-16-11.log,bluecoat:proxysg:access:file,sem-spl-idx-cluster1-31,,10.55.66.777,,0,"proxy
web",,,"proxy
web",,8:42:19,253197,unknown,/,-,ssl://www.virustotal.com/,Fahad3315,Blue Coat,TUNNELED,Technology/Internet,Blue Coat ProxySG,Online Services,VirusTotal,none,0eccfe6bf32fd3fa-0000000024a26c47-0000000061936dee,-,-,,-
"2021-11-16 08:42:08 240492 10.55.66.777 Fahad3315 stc\proxylanusers www.virustotal.com 74.125.34.46 ""None"" - - OBSERVED ""Technology/Internet"" - 0 TUNNELED unknown - ssl www.virustotal.com 443 / - - - 10.20.30.40 2169 734 - ""VirusTotal"" ""none"" ""Online Services"" 2 0eccfe6bf32fd3fa-0000000024a2152e-0000000061936df0 - -",2021-11-16T11:42:08.000+0300,allowed,Blue Coat ProxySG,2903,2169,734,10.55.66.777,Technology/Internet,,-,-,stc\proxylanusers,734,Technology/Internet,www.virustotal.com,unknown,2,443,ssl,Fahad3315,11/16/2021,8,16,42,november,8,tuesday,2021,0,www.virustotal.com,www.virustotal.com,,,240492,bluecoat_proxy bluecoat_proxy_access_file nix-all-logs,10.20.30.40,-,unknown,-,-,1,bluecoat_it,1,,ProxySG,,"--_::__...__\_.._..._""""_-_-__""/""_-____-__..__/_-_-",240492,-,TUNNELED,10.20.30.40,None,-,74.125.34.46,www.virustotal.com,2169,OBSERVED,0,,www.virustotal.com,/data/splunkapp/syslog/dc46/bluecoatsg/10.20.30.40/2021-11-16-11.log,bluecoat:proxysg:access:file,sem-spl-idx-cluster1-5,,10.55.66.777,,0,"proxy
web",,,"proxy
web",,8:42:08,240492,unknown,/,-,ssl://www.virustotal.com/,Fahad3315,Blue Coat,TUNNELED,Technology/Internet,Blue Coat ProxySG,Online Services,VirusTotal,none,0eccfe6bf32fd3fa-0000000024a2152e-0000000061936df0,-,-,,-
"2021-11-16 08:39:26 1 10.55.66.777 Fahad3315 stc\proxylanusers - - ""None"" - policy_denied DENIED ""Hacking"" http://www.zone-h.org/ 403 TCP_DENIED GET - http www.zone-h.org 80 /favicon.ico - ico ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"" 10.20.30.40 921 411 - ""none"" ""none"" ""none"" 4 0eccfe6bf32fd3fa-00000000249d7c85-0000000061936e3e - -",2021-11-16T11:39:26.000+0300,blocked,Blue Coat ProxySG,1332,921,411,10.55.66.777,Hacking,,http://www.zone-h.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",stc\proxylanusers,411,Hacking,www.zone-h.org,GET,4,80,http,Fahad3315,11/16/2021,8,16,39,november,26,tuesday,2021,0,www.zone-h.org,www.zone-h.org,,,1,bluecoat_proxy bluecoat_proxy_access_file nix-all-logs,10.20.30.40,-,GET,http://www.zone-h.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",114,bluecoat_it,1,,ProxySG,,"--_::__...__\_-_-_""""_-___""""_://.-./____-__.-.__/._",1,-,TCP_DENIED,10.20.30.40,None,-,-,-,921,DENIED,403,,www.zone-h.org,/data/splunkapp/syslog/dc46/bluecoatsg/10.20.30.40/2021-11-16-11.log,bluecoat:proxysg:access:file,sem-spl-idx-cluster1-32,,10.55.66.777,,403,"proxy
web",,,"proxy
web",,8:39:26,1,tcp,/favicon.ico,-,http://www.zone-h.org/favicon.ico,Fahad3315,Blue Coat,TCP_DENIED,Hacking,Blue Coat ProxySG,none,none,none,0eccfe6bf32fd3fa-00000000249d7c85-0000000061936e3e,-,-,,-
"2021-11-16 08:39:24 88 10.55.66.777 Fahad3315 stc\proxylanusers - - ""None"" - policy_denied DENIED ""Hacking"" https://www.google.com/ 403 TCP_DENIED GET - http www.zone-h.org 80 / - - ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"" 10.20.30.40 921 521 - ""none"" ""none"" ""none"" 4 0eccfe6bf32fd3fa-00000000249d6af2-0000000061936e3c - -",2021-11-16T11:39:24.000+0300,blocked,Blue Coat ProxySG,1442,921,521,10.55.66.777,Hacking,,https://www.google.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",stc\proxylanusers,521,Hacking,www.zone-h.org,GET,4,80,http,Fahad3315,11/16/2021,8,16,39,november,24,tuesday,2021,0,www.zone-h.org,www.zone-h.org,,,88,bluecoat_proxy bluecoat_proxy_access_file nix-all-logs,10.20.30.40,-,GET,https://www.google.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",114,bluecoat_it,1,,ProxySG,,"--_::__...__\_-_-_""""_-___""""_://../____-__.-.__/_-_",88,-,TCP_DENIED,10.20.30.40,None,-,-,-,921,DENIED,403,,www.zone-h.org,/data/splunkapp/syslog/dc46/bluecoatsg/10.20.30.40/2021-11-16-11.log,bluecoat:proxysg:access:file,sem-spl-idx-cluster1-14,,10.55.66.777,,403,"proxy
web",,,"proxy
web",,8:39:24,88,tcp,/,-,http://www.zone-h.org/,Fahad3315,Blue Coat,TCP_DENIED,Hacking,Blue Coat ProxySG,none,none,none,0eccfe6bf32fd3fa-00000000249d6af2-0000000061936e3c,-,-,,-
"2021-11-16 08:38:08 3 10.55.66.777 Fahad3315 stc\proxylanusers 10.20.30.40 10.20.30.40 ""Ambiguous - Special Use"" - - OBSERVED ""Technology/Internet"" - 200 TCP_ACCELERATED CONNECT - tcp www.virustotal.com 443 / - - ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"" 10.20.30.40 39 231 - ""VirusTotal"" ""none"" ""Online Services"" 2 0eccfe6bf32fd3fa-00000000249b3a4a-0000000061936df0 - -",2021-11-16T11:38:08.000+0300,allowed,Blue Coat ProxySG,270,39,231,10.55.66.777,Technology/Internet,,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",stc\proxylanusers,231,Technology/Internet,www.virustotal.com,CONNECT,2,443,tcp,Fahad3315,11/16/2021,8,16,38,november,8,tuesday,2021,0,www.virustotal.com,www.virustotal.com,,,3,bluecoat_proxy bluecoat_proxy_access_file nix-all-logs,10.20.30.40,-,CONNECT,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",114,bluecoat_it,1,,ProxySG,,"--_::__...__\_..._..._""_-__""_-_-__""/""_-____-__..__",3,-,TCP_ACCELERATED,10.20.30.40,Ambiguous - Special Use,-,10.20.30.40,10.20.30.40,39,OBSERVED,200,,www.virustotal.com,/data/splunkapp/syslog/dc46/bluecoatsg/10.20.30.40/2021-11-16-11.log,bluecoat:proxysg:access:file,sem-spl-idx-cluster1-6,,10.55.66.777,,200,"proxy
web",,,"proxy
web",,8:38:08,3,tcp,/,-,tcp://www.virustotal.com/,Fahad3315,Blue Coat,TCP_ACCELERATED,Technology/Internet,Blue Coat ProxySG,Online Services,VirusTotal,none,0eccfe6bf32fd3fa-00000000249b3a4a-0000000061936df0,-,-,,-
"2021-11-16 08:38:06 6 10.55.66.777 Fahad3315 stc\proxylanusers 10.20.30.40 10.20.30.40 ""Ambiguous - Special Use"" - - OBSERVED ""Technology/Internet"" - 200 TCP_ACCELERATED CONNECT - tcp www.virustotal.com 443 / - - ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"" 10.20.30.40 39 231 - ""VirusTotal"" ""none"" ""Online Services"" 2 0eccfe6bf32fd3fa-00000000249b2e79-0000000061936dee - -",2021-11-16T11:38:06.000+0300,allowed,Blue Coat ProxySG,270,39,231,10.55.66.777,Technology/Internet,,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",stc\proxylanusers,231,Technology/Internet,www.virustotal.com,CONNECT,2,443,tcp,Fahad3315,11/16/2021,8,16,38,november,6,tuesday,2021,0,www.virustotal.com,www.virustotal.com,,,6,bluecoat_proxy bluecoat_proxy_access_file nix-all-logs,10.20.30.40,-,CONNECT,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",114,bluecoat_it,1,,ProxySG,,"--_::__...__\_..._..._""_-__""_-_-__""/""_-____-__..__",6,-,TCP_ACCELERATED,10.20.30.40,Ambiguous - Special Use,-,10.20.30.40,10.20.30.40,39,OBSERVED,200,,www.virustotal.com,/data/splunkapp/syslog/dc46/bluecoatsg/10.20.30.40/2021-11-16-11.log,bluecoat:proxysg:access:file,sem-spl-idx-cluster1-13,,10.55.66.777,,200,"proxy
web",,,"proxy
web",,8:38:06,6,tcp,/,-,tcp://www.virustotal.com/,Fahad3315,Blue Coat,TCP_ACCELERATED,Technology/Internet,Blue Coat ProxySG,Online Services,VirusTotal,none,0eccfe6bf32fd3fa-00000000249b2e79-0000000061936dee,-,-,,-
"2021-11-16 08:37:32 93 10.55.66.777 Fahad3315 stc\proxylanusers 10.20.30.40 10.20.30.40 ""Ambiguous - Special Use"" - - OBSERVED ""Technology/Internet"" - 200 TCP_ACCELERATED CONNECT - tcp haveibeenpwned.com 443 / - - ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"" 10.20.30.40 39 231 - ""none"" ""none"" ""none"" 2 0eccfe6bf32fd3fa-00000000249a2eda-0000000061936dcb - -",2021-11-16T11:37:32.000+0300,allowed,Blue Coat ProxySG,270,39,231,10.55.66.777,Technology/Internet,,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",stc\proxylanusers,231,Technology/Internet,haveibeenpwned.com,CONNECT,2,443,tcp,Fahad3315,11/16/2021,8,16,37,november,32,tuesday,2021,0,haveibeenpwned.com,haveibeenpwned.com,,,93,bluecoat_proxy bluecoat_proxy_access_file nix-all-logs,10.20.30.40,-,CONNECT,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",114,bluecoat_it,1,,ProxySG,,"--_::__...__\_..._..._""_-__""_-_-__""/""_-____-__.__/",93,-,TCP_ACCELERATED,10.20.30.40,Ambiguous - Special Use,-,10.20.30.40,10.20.30.40,39,OBSERVED,200,,haveibeenpwned.com,/data/splunkapp/syslog/dc46/bluecoatsg/10.20.30.40/2021-11-16-11.log,bluecoat:proxysg:access:file,sem-spl-idx-cluster1-33,,10.55.66.777,,200,"proxy
web",,,"proxy
web",,8:37:32,93,tcp,/,-,tcp://haveibeenpwned.com/,Fahad3315,Blue Coat,TCP_ACCELERATED,Technology/Internet,Blue Coat ProxySG,none,none,none,0eccfe6bf32fd3fa-00000000249a2eda-0000000061936dcb,-,-,,-
"2021-11-16 08:22:13 243677 10.55.66.777 Fahad3315 stc\proxylanusers www.youtube.com 216.58.198.78 ""None"" - - OBSERVED ""Mixed Content/Potentially Adult;Audio/Video Clips"" - 0 TUNNELED unknown - ssl www.youtube.com 443 / - - - 10.20.30.40 70317 85021 - ""YouTube"" ""none"" ""Video Hosting"" 1 0eccfe6bf32fd3fa-00000000247f096c-0000000061936941 - -",2021-11-16T11:22:13.000+0300,allowed,Blue Coat ProxySG,155338,70317,85021,10.55.66.777,Mixed Content/Potentially Adult;Audio/Video Clips,,-,-,stc\proxylanusers,85021,Mixed Content/Potentially Adult;Audio/Video Clips,www.youtube.com,unknown,1,443,ssl,Fahad3315,11/16/2021,8,16,22,november,13,tuesday,2021,0,www.youtube.com,www.youtube.com,,,243677,bluecoat_proxy bluecoat_proxy_access_file nix-all-logs,10.20.30.40,-,unknown,-,-,1,bluecoat_it,1,,ProxySG,,"--_::__...__\_.._..._""""_-_-__""_/_;/_""_-____-__..__",243677,-,TUNNELED,10.20.30.40,None,-,216.58.198.78,www.youtube.com,70317,OBSERVED,0,,www.youtube.com,/data/splunkapp/syslog/dc46/bluecoatsg/10.20.30.40/2021-11-16-11.log,bluecoat:proxysg:access:file,sem-spl-idx-cluster1-27,,10.55.66.777,,0,"proxy
web",,,"proxy
web",,8:22:13,243677,unknown,/,-,ssl://www.youtube.com/,Fahad3315,Blue Coat,TUNNELED,"Mixed Content/Potentially Adult
Audio/Video Clips",Blue Coat ProxySG,Video Hosting,YouTube,none,0eccfe6bf32fd3fa-00000000247f096c-0000000061936941,-,-,,-
"2021-11-16 08:22:12 240505 10.55.66.777 Fahad3315 stc\proxylanusers youtube.com 172.217.19.46 ""None"" - - OBSERVED ""Mixed Content/Potentially Adult;Audio/Video Clips"" - 0 TUNNELED unknown - ssl youtube.com 443 / - - - 10.20.30.40 6237 879 - ""YouTube"" ""none"" ""Video Hosting"" 1 0eccfe6bf32fd3fa-00000000247f00f7-0000000061936943 - -",2021-11-16T11:22:12.000+0300,allowed,Blue Coat ProxySG,7116,6237,879,10.55.66.777,Mixed Content/Potentially Adult;Audio/Video Clips,,-,-,stc\proxylanusers,879,Mixed Content/Potentially Adult;Audio/Video Clips,youtube.com,unknown,1,443,ssl,Fahad3315,11/16/2021,8,16,22,november,12,tuesday,2021,0,youtube.com,youtube.com,,,240505,bluecoat_proxy bluecoat_proxy_access_file nix-all-logs,10.20.30.40,-,unknown,-,-,1,bluecoat_it,1,,ProxySG,,"--_::__...__\_._..._""""_-_-__""_/_;/_""_-____-__.__/_",240505,-,TUNNELED,10.20.30.40,None,-,172.217.19.46,youtube.com,6237,OBSERVED,0,,youtube.com,/data/splunkapp/syslog/dc46/bluecoatsg/10.20.30.40/2021-11-16-11.log,bluecoat:proxysg:access:file,sem-spl-idx-cluster1-10,,10.55.66.777,,0,"proxy
web",,,"proxy
web",,8:22:12,240505,unknown,/,-,ssl://youtube.com/,Fahad3315,Blue Coat,TUNNELED,"Mixed Content/Potentially Adult
Audio/Video Clips",Blue Coat ProxySG,Video Hosting,YouTube,none,0eccfe6bf32fd3fa-00000000247f00f7-0000000061936943,-,-,,-
